row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
3745519	15	REALIZABLE	store	0.58	4096	yes	yes				
3753992	21	REALIZABLE	walk	17.61	8192	yes	yes				
3758360	18	REALIZABLE	walk	21.37	1024	yes	yes				
3773519	20	REALIZABLE	walk	1.61	1024	yes	yes				
3793011	18	REALIZABLE	walk	1.80	262144	yes	yes				
3797119	19	REALIZABLE	walk	4.14	1024	yes	yes				
3816617	17	REALIZABLE	walk	20.29	1024	yes	yes				
3820504	21	REALIZABLE	walk	20.56	1024	yes	yes				
3820584	20	REALIZABLE	walk	12.06	1024	yes	yes				
3840632	16	REALIZABLE	walk	2.74	1024	yes	yes				
3842585	15	REALIZABLE	walk	1.30	1024	yes	yes				
3843947	20	REALIZABLE	walk	24.78	512	yes	yes				
3848412	18	REALIZABLE	store	1.28	256	yes	yes				
3885899	16	REALIZABLE	walk	1.39	1024	yes	yes				
3925297	18	REALIZABLE	walk	3.17	262144	yes	yes				
3927725	22	REALIZABLE	walk	2.78	1024	yes	yes				
3942006	19	REALIZABLE	walk	2.98	1024	yes	yes				
3942144	18	REALIZABLE	store_walk	1.16	512	yes	yes				
3951870	18	REALIZABLE	walk	21.33	1024	yes	yes				
3956638	18	REALIZABLE	walk	8.89	1024	yes	yes				
3969889	16	REALIZABLE	walk	1.95	16384	yes	yes				
3992924	19	REALIZABLE	walk	161.82	16384	yes	yes	31542	31542	9	
4005296	17	REALIZABLE	walk	4.40	1024	yes	yes				
4018483	20	REALIZABLE	fresh	40.42	512	yes	yes				
4027379	21	REALIZABLE	walk	10.97	1024	yes	yes				
4032009	19	REALIZABLE	store	1.37	512	yes	yes				
4050361	18	REALIZABLE	walk	2.85	16384	yes	yes				
4056527	19	REALIZABLE	walk	4.85	1024	yes	yes				
4059162	24	REALIZABLE	walk	2.26	1024	yes	yes				
4066535	16	REALIZABLE	walk	9.50	1024	yes	yes				
4066558	18	REALIZABLE	walk	23.27	1024	yes	yes				
4067790	23	REALIZABLE	walk	5.11	16384	yes	yes				
4068824	18	REALIZABLE	walk	2.35	1024	yes	yes				
4091957	19	REALIZABLE	store	1.34	32	yes	yes				
4099514	15	REALIZABLE	store	0.63	4096	yes	yes				
4107985	19	REALIZABLE	walk	3.90	1024	yes	yes				
4125921	17	REALIZABLE	walk	3.35	1024	yes	yes				
4126892	21	REALIZABLE	walk	8.64	1024	yes	yes				
4133159	20	REALIZABLE	walk	44.20	1024	yes	yes				
4164751	17	REALIZABLE	walk	11.64	16384	yes	yes				
4166868	22	REALIZABLE	fresh	1.72	4096	yes	yes				
4176085	18	REALIZABLE	store_walk	1.17	256	yes	yes				
4212492	21	REALIZABLE	walk	8.38	16384	yes	yes				
4215145	22	REALIZABLE	walk	3.67	1024	yes	yes				
4216348	18	REALIZABLE	walk	15.31	16384	yes	yes				
4218710	17	REALIZABLE	walk	3.24	1024	yes	yes				
4242067	19	REALIZABLE	walk	2.87	1024	yes	yes				
4252898	18	REALIZABLE	walk	1.60	1024	yes	yes				
4266114	19	REALIZABLE	walk	1.86	16384	yes	yes				
4289821	15	REALIZABLE	walk	3.94	1024	yes	yes				
4290333	17	REALIZABLE	walk	3.56	1024	yes	yes				
4298243	19	REALIZABLE	store_walk	1.54	64	yes	yes				
4305048	19	REALIZABLE	walk	31.99	16384	yes	yes				
4310721	17	REALIZABLE	store_walk	1.29	2048	yes	yes				
4319814	21	REALIZABLE	store	1.79	4096	yes	yes				
4334536	20	REALIZABLE	walk	35.70	1024	yes	yes				
4357916	16	REALIZABLE	walk	1.01	1024	yes	yes				
4364287	18	REALIZABLE	walk	1.54	1024	yes	yes				
4373774	20	REALIZABLE	walk	8.84	1024	yes	yes				
4405516	15	REALIZABLE	walk	5.23	1024	yes	yes				
